NAMESPACE     NAME                                     READY   STATUS    RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
default       api-server-f7ccd6fb8-cntpd               1/1     Running   2          4h44m   10.32.0.21       test2   <none>           <none>
default       chronograf-54664657cf-fcmqx              1/1     Running   0          4h44m   10.32.0.32       test2   <none>           <none>
default       consumer-device1-688b9fd46f-tvb9l        1/1     Running   2          4h44m   10.32.0.33       test2   <none>           <none>
default       edgex-core-command-59766cbddd-jl8m7      1/1     Running   1          4h44m   10.32.0.27       test2   <none>           <none>
default       edgex-core-consul-9cf897754-mwbgm        1/1     Running   0          4h44m   10.32.0.30       test2   <none>           <none>
default       edgex-core-data-678b79c86-dfmf4          1/1     Running   1          4h44m   10.32.0.7        test2   <none>           <none>
default       edgex-core-metadata-697b98f499-lbxtx     1/1     Running   1          4h44m   10.32.0.24       test2   <none>           <none>
default       edgex-mongo-8b845bf79-qr5jg              1/1     Running   0          4h44m   10.32.0.31       test2   <none>           <none>
default       edgex-support-logging-6b4c5d5977-fwj86   1/1     Running   1          4h44m   10.32.0.23       test2   <none>           <none>
default       influxdb-798c4b8678-pc7jv                1/1     Running   0          4h44m   10.32.0.29       test2   <none>           <none>
default       kafka-broker-1-675486f8f9-6w57s          1/1     Running   1          4h44m   10.32.0.25       test2   <none>           <none>
default       kafka-broker-2-557ddcb4fd-948xf          1/1     Running   1          4h44m   10.32.0.22       test2   <none>           <none>
default       kafka-broker-3-58cf5cc84f-mwltc          1/1     Running   1          4h44m   10.32.0.26       test2   <none>           <none>
default       kafka-zookeeper-7bf6bfb7b8-s8dh2         1/1     Running   0          4h44m   10.32.0.28       test2   <none>           <none>
default       ml-pattern-d67cc7759-wz8x7               1/1     Running   0          4h44m   10.32.0.20       test2   <none>           <none>
default       mysql-f9586d9b6-bcn7s                    1/1     Running   0          35m     10.32.0.2        test2   <none>           <none>
default       wordpress-6948bfcb99-ql4zx               1/1     Running   0          35m     10.32.0.3        test2   <none>           <none>
kube-system   coredns-5644d7b6d9-d69gf                 1/1     Running   0          8d      10.40.0.2        test    <none>           <none>
kube-system   coredns-5644d7b6d9-h9278                 1/1     Running   0          8d      10.40.0.1        test    <none>           <none>
kube-system   etcd-test                                1/1     Running   0          8d      203.237.53.233   test    <none>           <none>
kube-system   kube-apiserver-test                      1/1     Running   0          8d      203.237.53.233   test    <none>           <none>
kube-system   kube-controller-manager-test             1/1     Running   4          8d      203.237.53.233   test    <none>           <none>
kube-system   kube-proxy-5zb5f                         1/1     Running   0          8d      203.237.53.233   test    <none>           <none>
kube-system   kube-proxy-q6hmh                         1/1     Running   0          8d      203.237.53.209   test2   <none>           <none>
kube-system   kube-scheduler-test                      1/1     Running   3          8d      203.237.53.233   test    <none>           <none>
kube-system   weave-net-vh2wd                          2/2     Running   0          8d      203.237.53.209   test2   <none>           <none>
kube-system   weave-net-w44nz                          2/2     Running   0          8d      203.237.53.233   test    <none>           <none>
monitoring    prometheus-deployment-7688cd6c7f-knnvd   1/1     Running   0          4h44m   10.32.0.18       test2   <none>           <none>
